"L2_O","L2_C","L5_O","L5_C","year1","year3","year5","year10","gender","age","emploi","Text","Level","Data","sentiment","docname","Segment","WPS","WC","Sixltr","Dic","fonction","pronom","pronomp","je","nous","vous","il","ils","pronomimp","article","verbe","verbeauxi","verbepassé","verbeprésent","verbefutur","adverbe","préposition","conjonction","négation","quantifieur","nombre","juron","social","famille","ami","humain","affect","émopos","émonég","anxiété","colère","tristesse","cognition","perspicacité","cause","divergence","tentative","certitude","inhibition","inclusion","exclusion","perception","voir","entendre","sentir","biologique","corps","santé","sexualité","alimentation","relativité","mouvement","espace","temps","travail","accomplissement","loisir","maison","argent","religion","mort","consentement","hésitation","remplisseur","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"J'ai un véhicule simple rassurant me permettant peut-être grâce à certaines tâche accomplie automatiquement par la voiture à faire plus de kilomètres annuler une seule session ça me semble bien sécurisant","","","",23,92,100,100,1,55,2,"J'ai un véhicule simple rassurant me permettant peut-être grâce à certaines tâche accomplie automatiquement par la voiture à faire plus de kilomètres annuler une seule session ça me semble bien sécurisant   ","Level2","Car",-4,"text11",11,33,33,33.33,339.39,45.45,12.12,12.12,9.09,0,0,3.03,0,0,12.12,27.27,6.06,6.06,15.15,0,6.06,15.15,0,0,15.15,6.06,0,3.03,0,0,0,18.18,15.15,3.03,0,0,3.03,27.27,3.03,6.06,0,6.06,3.03,0,9.09,3.03,0,0,0,0,0,0,0,0,0,18.18,6.06,9.09,0,3.03,6.06,0,0,0,0,0,6.06,0,0,6.06,0,0,0,0,0,0,3.03,3.03,3.03,0,3.03
"Le fait que la voiture soit équipée de façon classique  avec toutes les données au niveau du tableau de bord type pilote automobile ","","","",2,32,80,100,1,64,3,"Le fait que la voiture soit équipée de façon classique  avec toutes les données au niveau du tableau de bord type pilote automobile    ","Level2","Car",4,"text12",12,23,23,26.09,282.61,47.83,4.35,4.35,0,0,0,4.35,0,0,30.43,13.04,0,8.7,4.35,0,4.35,17.39,8.7,0,4.35,0,0,8.7,0,0,4.35,0,0,0,0,0,0,21.74,4.35,4.35,0,0,4.35,0,8.7,4.35,4.35,4.35,0,0,0,0,0,0,0,21.74,13.04,8.7,0,8.7,4.35,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","","","En aucune manière je ne me sentirais avoir le contrôle du véhicule. Je trouverais cela dangereux pour les autres et pour moi-même.",0,0,0,0,1,44,2,"   En aucune manière je ne me sentirais avoir le contrôle du véhicule. Je trouverais cela dangereux pour les autres et pour moi-même.","Level5","Cloud",-3,"text13",13,13,26,23.08,288.46,57.69,23.08,19.23,15.38,0,0,3.85,0,3.85,11.54,11.54,3.85,0,0,7.69,3.85,11.54,3.85,7.69,7.69,0,0,0,0,0,0,3.85,0,3.85,0,3.85,0,30.77,11.54,3.85,3.85,0,0,3.85,3.85,7.69,3.85,0,0,3.85,0,0,0,0,0,7.69,0,0,0,0,3.85,0,0,0,0,0,0,0,0,11.54,7.69,0,0,0,0,0,3.85,0,0,0,7.69
"Je me sens maître de mon véhicule si je décide de l'utiliser. La technologie est la si je le décide. ","","","",0,0,50,100,1,47,2,"Je me sens maître de mon véhicule si je décide de l'utiliser. La technologie est la si je le décide.    ","Level2","Car",2,"text14",14,11,22,13.64,300,54.55,27.27,27.27,22.73,0,0,4.55,0,0,22.73,18.18,4.55,0,18.18,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,13.64,0,9.09,9.09,0,0,0,9.09,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,4.55,4.55,0,0,0,0,0,0,0,0,13.64,9.09,0,0,0,0,0,0,4.55,4.55,0,13.64
"","","Je ne maîtrise rien..... j’imagine mal cela...trop peur !!!!j’attendrais les expériences concrètes et positives et encore....... de toutes façons il faudra bien y venir dans le temps..... mais vu mon âge...... j’en resterais à la maîtrise totale de mon véhicule quoique je veux bien tester le niveau 2 celui où on a encore la main mise mais que le freinage et accélérateur sont automatiques !!!! ","",2,2,2,0,2,75,3,"  Je ne maîtrise rien..... j’imagine mal cela...trop peur !!!!j’attendrais les expériences concrètes et positives et encore....... de toutes façons il faudra bien y venir dans le temps..... mais vu mon âge...... j’en resterais à la maîtrise totale de mon véhicule quoique je veux bien tester le niveau 2 celui où on a encore la main mise mais que le freinage et accélérateur sont automatiques !!!!  ","Level5","Car",-3,"text15",15,49.5,99,13.13,208.08,33.33,11.11,11.11,6.06,0,0,5.05,0,0,8.08,8.08,1.01,2.02,2.02,3.03,5.05,4.04,7.07,2.02,4.04,0,0,0,0,0,0,5.05,3.03,2.02,1.01,0,1.01,18.18,2.02,3.03,3.03,1.01,5.05,0,7.07,4.04,5.05,2.02,0,1.01,2.02,1.01,1.01,0,0,10.1,3.03,3.03,4.04,3.03,2.02,0,0,0,0,0,2.02,0,0,37.37,26.26,0,0,0,0,8.08,0,3.03,3.03,0,34.34
"","","","On est maître de rien du tout vu que tout est géré automatiquement 
En plus le dispositif de gestión est á  distance",1,6,12,16,2,53,2,"   On est maître de rien du tout vu que tout est géré automatiquement 
En plus le dispositif de gestión est á  distance","Level5","Cloud",0,"text16",16,22,22,18.18,309.09,45.45,4.55,4.55,0,0,0,4.55,0,0,18.18,27.27,13.64,13.64,13.64,0,13.64,18.18,4.55,4.55,18.18,0,0,0,0,0,0,4.55,4.55,0,0,0,0,22.73,4.55,0,0,0,9.09,0,9.09,9.09,4.55,4.55,0,0,0,0,0,0,0,13.64,0,4.55,0,9.09,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","","","Selon moi, il est clair que les véhicules dotés d’une fonction de conduite autonome amélioreront la sécurité, ainsi que l'efficacité du trafic. Toutefois, dans certaines situations de circulation, ainsi que pour l'entretien et la surveillance des véhicules, une assistance humaine sera encore nécessaire. Donc je me sens maître de mon véhicule quand j'attache une certaine attention sur la route et sa circulation. Le niveau 5 est insuffisant pour me rassurer en conduite, je préfère être alerte à tout obstacle de circulation. ",10,10,20,40,1,22,2,"   Selon moi, il est clair que les véhicules dotés d’une fonction de conduite autonome amélioreront la sécurité, ainsi que l'efficacité du trafic. Toutefois, dans certaines situations de circulation, ainsi que pour l'entretien et la surveillance des véhicules, une assistance humaine sera encore nécessaire. Donc je me sens maître de mon véhicule quand j'attache une certaine attention sur la route et sa circulation. Le niveau 5 est insuffisant pour me rassurer en conduite, je préfère être alerte à tout obstacle de circulation. ","Level5","Cloud",1,"text17",17,22.75,91,30.77,257.14,46.15,10.99,10.99,7.69,0,0,3.3,0,0,17.58,8.79,3.3,0,5.49,1.1,4.4,12.09,9.89,0,5.49,2.2,0,4.4,0,0,1.1,7.69,6.59,1.1,1.1,1.1,0,19.78,2.2,4.4,3.3,1.1,5.49,3.3,10.99,0,2.2,1.1,0,1.1,0,0,0,0,0,13.19,2.2,5.49,2.2,2.2,4.4,0,0,0,0,0,0,0,0,15.38,4.4,6.59,0,0,0,0,0,4.4,4.4,0,14.29
"","","Se texte ne présente aucun moyen de se sentir maître du véhicule. Pas même un moyen de freinage d'urgence manuel n'est évoqué. Dans une telle voiture on peut se sentir comme le propriétaire, mais en aucun cas ""maître"" du véhicule car tous les moyens de contrôle sont automatisés","",0,0,0,25,2,28,2,"  Se texte ne présente aucun moyen de se sentir maître du véhicule. Pas même un moyen de freinage d'urgence manuel n'est évoqué. Dans une telle voiture on peut se sentir comme le propriétaire, mais en aucun cas ""maître"" du véhicule car tous les moyens de contrôle sont automatisés ","Level5","Car",-2,"text18",18,17.6666666666667,53,16.98,239.62,49.06,7.55,7.55,5.66,0,0,1.89,0,0,16.98,7.55,1.89,0,3.77,0,3.77,9.43,3.77,9.43,16.98,3.77,0,1.89,0,0,0,0,0,0,0,0,0,28.3,3.77,3.77,1.89,1.89,1.89,1.89,5.66,9.43,3.77,0,0,3.77,0,0,0,0,0,5.66,1.89,1.89,1.89,3.77,5.66,0,1.89,0,0,0,0,0,0,13.21,3.77,1.89,0,0,0,0,0,7.55,3.77,0,13.21
"","","En aucuns cas je suis maître de mon véhicule.tout sera contrôlé par l’ordinateur de bord et les données inscrites au départ.Le risque c’est que nous sommes avec un système d’exploitation via nos satellites et un réseau . Il ne faut pas être dans des zones non couvertes et qu’une défaillance technique arrive car nous sommes avec de l’électronique.","",1,5,15,35,1,38,2,"  En aucuns cas je suis maître de mon véhicule.tout sera contrôlé par l’ordinateur de bord et les données inscrites au départ.Le risque c’est que nous sommes avec un système d’exploitation via nos satellites et un réseau . Il ne faut pas être dans des zones non couvertes et qu’une défaillance technique arrive car nous sommes avec de l’électronique. ","Level5","Car",-4,"text19",19,19.6666666666667,59,22.03,279.66,47.46,10.17,10.17,3.39,5.08,0,1.69,0,0,15.25,16.95,3.39,5.08,10.17,0,0,15.25,8.47,6.78,5.08,3.39,0,5.08,0,0,0,1.69,0,1.69,1.69,0,0,30.51,1.69,3.39,0,1.69,1.69,1.69,16.95,6.78,0,0,0,0,0,0,0,0,0,11.86,3.39,5.08,3.39,3.39,5.08,0,0,5.08,0,0,0,0,0,15.25,6.78,0,0,0,0,0,0,8.47,8.47,0,6.78
"","","","Manque de confiance dans le dispositif de conduite
Crainte du piratage informatique surtout si l’ordinateur est a distance 
Plus de libre arbitre en cas d’imprévu sur la route ",3,8,10,50,2,38,2,"   Manque de confiance dans le dispositif de conduite
Crainte du piratage informatique surtout si l’ordinateur est a distance 
Plus de libre arbitre en cas d’imprévu sur la route ","Level5","Cloud",-2,"text20",20,28,28,39.29,289.29,39.29,3.57,3.57,0,0,0,3.57,0,0,21.43,10.71,7.14,3.57,7.14,0,3.57,25,3.57,0,3.57,0,0,3.57,0,0,0,17.86,10.71,7.14,3.57,0,3.57,25,3.57,0,3.57,3.57,3.57,3.57,7.14,10.71,0,0,0,0,0,0,0,0,0,21.43,3.57,14.29,0,0,3.57,0,0,3.57,0,0,0,0,0,7.14,0,0,0,0,0,0,0,7.14,7.14,0,0
"Difficile pour moi de laisser mes décisions seule à l'intelligence artificielle avec tout ce que cela suppose pour ma liberté....","","","",2,2,24,31,1,62,3,"Difficile pour moi de laisser mes décisions seule à l'intelligence artificielle avec tout ce que cela suppose pour ma liberté....   ","Level2","Car",-2,"text21",21,24,24,29.17,270.83,50,16.67,16.67,12.5,0,0,4.17,0,0,4.17,8.33,0,0,4.17,0,4.17,20.83,4.17,0,8.33,0,0,0,0,0,0,12.5,4.17,8.33,0,0,4.17,29.17,8.33,0,0,4.17,4.17,4.17,12.5,0,0,0,0,0,0,0,0,0,0,16.67,0,4.17,0,0,0,4.17,0,0,0,0,0,0,0,20.83,16.67,0,0,0,0,0,0,4.17,4.17,0,20.83
"","Je me sentirais maître de mon véhicule car je peux en reprendre le contrôle à tout instant. Cependant je ne pense pas utiliser une telle option car elle nécessite de rester concentré sans conduire. Je préfère conduire normalement.","","",0,5,15,40,1,25,1," Je me sentirais maître de mon véhicule car je peux en reprendre le contrôle à tout instant. Cependant je ne pense pas utiliser une telle option car elle nécessite de rester concentré sans conduire. Je préfère conduire normalement.  ","Level2","Cloud",2,"text22",22,13.6666666666667,41,31.71,300,46.34,19.51,19.51,14.63,0,0,4.88,0,0,9.76,21.95,0,2.44,7.32,2.44,2.44,9.76,7.32,4.88,4.88,2.44,0,0,0,0,0,0,0,0,0,0,0,36.59,7.32,7.32,7.32,4.88,4.88,2.44,4.88,2.44,2.44,0,0,2.44,0,0,0,0,0,14.63,7.32,2.44,2.44,4.88,4.88,0,0,0,0,0,0,0,0,7.32,7.32,0,0,0,0,0,0,0,0,0,7.32
"","","","Pas du tout maître du véhicule, aucune action faite par l'homme et tout est géré par les technologies (ordinateur, intelligence articielle). Je ne pense pas être prête à posséder ce genre de véhicule sans aucun contrôle sur la voiture",0,5,5,8,2,23,1,"   Pas du tout maître du véhicule, aucune action faite par l'homme et tout est géré par les technologies (ordinateur, intelligence articielle). Je ne pense pas être prête à posséder ce genre de véhicule sans aucun contrôle sur la voiture","Level5","Cloud",3,"text23",23,22,44,22.73,227.27,43.18,4.55,4.55,2.27,0,0,2.27,0,0,11.36,9.09,4.55,4.55,2.27,0,4.55,11.36,2.27,11.36,9.09,0,0,0,0,0,0,0,0,0,0,0,0,27.27,6.82,6.82,0,0,4.55,2.27,4.55,6.82,0,0,0,0,0,0,0,0,0,13.64,6.82,4.55,0,4.55,9.09,2.27,0,0,0,0,0,0,0,13.64,2.27,4.55,0,0,0,0,0,2.27,2.27,0,9.09
"","","Avec une voiture entièrement automatisé et autonome, j’aurai la sensation de ne rien contrôler et de « subir » la situation. ","",10,10,20,50,2,25,2,"  Avec une voiture entièrement automatisé et autonome, j’aurai la sensation de ne rien contrôler et de « subir » la situation.  ","Level5","Car",0,"text24",24,23,23,34.78,278.26,52.17,4.35,4.35,4.35,0,0,0,0,0,21.74,13.04,4.35,0,0,4.35,4.35,13.04,8.7,8.7,8.7,4.35,0,0,0,0,0,8.7,4.35,4.35,0,0,4.35,30.43,0,4.35,0,0,4.35,4.35,17.39,8.7,4.35,0,0,4.35,4.35,4.35,0,0,0,4.35,4.35,0,0,0,4.35,0,0,0,0,0,0,0,0,21.74,4.35,4.35,0,0,0,0,0,13.04,4.35,0,8.7
"","","","Je ne me sens pas maître de mon véhicule car je n'ai pas de moyen de prendre le contrôle dessus.
Il faudrait que j'ai des moyen de conduire en mode manuel pour me sentir maître de mon véhicule",0,0,10,19,1,24,1,"   Je ne me sens pas maître de mon véhicule car je n'ai pas de moyen de prendre le contrôle dessus.
Il faudrait que j'ai des moyen de conduire en mode manuel pour me sentir maître de mon véhicule","Level5","Cloud",2,"text25",25,19.5,39,15.38,294.87,61.54,23.08,23.08,17.95,0,0,5.13,0,0,17.95,17.95,5.13,0,7.69,2.56,0,17.95,5.13,10.26,5.13,0,0,0,0,0,0,0,0,0,0,0,0,15.38,7.69,5.13,0,0,2.56,2.56,2.56,2.56,7.69,0,0,7.69,0,0,0,0,0,5.13,2.56,0,0,5.13,7.69,0,0,0,0,0,0,0,0,7.69,2.56,0,0,0,0,0,0,5.13,5.13,0,7.69
"","","Je ne me sens pas maître de mon véhicule puisque je n'en suis pas conductrice. Cependant je pense qu'après plusieurs études et test, il est possible que je puisse faire confiance à cette intelligence artificielle. ","",30,35,50,60,2,24,1,"  Je ne me sens pas maître de mon véhicule puisque je n'en suis pas conductrice. Cependant je pense qu'après plusieurs études et test, il est possible que je puisse faire confiance à cette intelligence artificielle.  ","Level5","Car",4,"text26",26,19,38,26.32,265.79,44.74,18.42,18.42,15.79,0,0,2.63,0,0,2.63,10.53,2.63,0,7.89,0,2.63,5.26,10.53,7.89,2.63,0,0,0,0,0,0,2.63,2.63,0,0,0,0,28.95,5.26,5.26,2.63,2.63,2.63,2.63,10.53,2.63,2.63,0,0,2.63,0,0,0,0,0,10.53,2.63,5.26,2.63,5.26,10.53,2.63,0,0,0,0,0,0,0,13.16,5.26,2.63,0,0,0,0,0,5.26,5.26,0,13.16
"","","","Je ne me sens absolument pas maitre de mon vehicule. Je me demande si quelqu'un d'autre peut avoir acces a ma localisation et gerer ma conduite sans que je sois au courant, je pense que cela pourrait etre dangereux. Comment est geree la securite de mes donnees et ma securite? ",0,3,15,50,2,24,2,"   Je ne me sens absolument pas maitre de mon vehicule. Je me demande si quelqu'un d'autre peut avoir acces a ma localisation et gerer ma conduite sans que je sois au courant, je pense que cela pourrait etre dangereux. Comment est geree la securite de mes donnees et ma securite? ","Level5","Cloud",-3,"text27",27,18,54,25.93,253.7,46.3,22.22,20.37,20.37,0,0,0,0,1.85,9.26,11.11,5.56,0,7.41,1.85,3.7,5.56,9.26,3.7,1.85,0,0,3.7,0,0,0,1.85,0,1.85,0,1.85,0,22.22,3.7,1.85,5.56,7.41,1.85,0,7.41,5.56,1.85,0,0,1.85,0,0,0,0,0,5.56,3.7,1.85,1.85,0,0,0,0,0,0,0,1.85,0,0,11.11,3.7,1.85,0,0,1.85,0,0,3.7,3.7,0,11.11
"","J'aurai très peur qu'il y ai une défaillance dans le cloud, il ne vaut mieux pas imaginer que c'est commandé à distance... On ne sait jamais, au vu du texte s'il y a une défaillance on ne peut pas éviter un accident ","","",2,2,6,13,2,24,1," J'aurai très peur qu'il y ai une défaillance dans le cloud, il ne vaut mieux pas imaginer que c'est commandé à distance... On ne sait jamais, au vu du texte s'il y a une défaillance on ne peut pas éviter un accident   ","Level2","Cloud",-4,"text28",28,23.5,47,14.89,248.94,40.43,6.38,6.38,2.13,0,0,4.26,0,0,12.77,17.02,8.51,2.13,10.64,2.13,6.38,6.38,2.13,12.77,8.51,6.38,0,0,0,0,0,4.26,2.13,2.13,2.13,0,0,21.28,4.26,0,0,6.38,4.26,0,6.38,10.64,4.26,4.26,0,0,0,0,0,0,0,10.64,0,6.38,2.13,0,2.13,0,0,0,0,0,0,0,0,19.15,6.38,4.26,0,0,0,0,0,8.51,8.51,0,19.15
"","","Je ne me sens absolument plus maître de mon véhicule, je redeviens un simple passager qui monte dedans et est amené à destination.","",3,3,3,5,1,25,2,"  Je ne me sens absolument plus maître de mon véhicule, je redeviens un simple passager qui monte dedans et est amené à destination. ","Level5","Car",3,"text29",29,25,25,20,336,52,16,16,16,0,0,0,0,0,8,16,4,8,8,0,12,16,8,4,8,4,0,0,0,0,0,8,8,0,0,0,0,32,4,0,0,0,4,0,20,8,4,0,0,4,0,0,0,0,0,20,8,8,0,4,4,0,0,0,0,0,4,0,0,8,4,4,0,0,0,0,0,0,0,0,8
"Les avions ont un pilote automatique pourquoi pas les voitures donc vivement ..............que cela arrive....","","","",0,0,0,10,1,76,3,"Les avions ont un pilote automatique pourquoi pas les voitures donc vivement ..............que cela arrive....   ","Level2","Car",1,"text30",30,33,33,12.12,109.09,18.18,0,0,0,0,0,0,0,0,9.09,6.06,0,3.03,3.03,0,0,0,6.06,3.03,3.03,3.03,0,3.03,0,0,0,3.03,3.03,0,0,0,0,6.06,0,3.03,0,0,0,0,6.06,0,0,0,0,0,3.03,0,3.03,0,0,9.09,9.09,0,0,3.03,3.03,0,0,0,0,0,0,0,0,54.55,54.55,0,0,0,0,0,0,0,0,0,54.55
