"L5W","L55G","L2W","L25G","Control","TA1","TA2","TA3","TA4","PS1","PS2","PS3","PS4","PS5","TT1","TT2","TT3","TT4","EE1","EE2","EE3","EE4","PE1","PE2","PE3","BI1","BI2","BI3","gender","age","occupation","TA","PS","TT","EE","PE","BI","PS3_rev","Text","Level","Network","sentiment","TOPIC1","TOPIC2","TOPIC3","TOPIC4","TOPIC5","TOPIC6"
"","","","Oui j'pense etre de mon véhicule... oui pour la 5 G... et etre connecte avec d autres voitures.. surtout si on a des enfants..",2,3,5,3,5,5,1,3,7,2,3,2,3,2,1,1,1,1,3,4,3,2,1,1,1,47,2,3.66666666666667,3,2.5,1,3.33333333333333,1.33333333333333,4,"   Oui j'pense etre de mon véhicule... oui pour la 5 G... et etre connecte avec d autres voitures.. surtout si on a des enfants..","Level2","5G",0,0,0,0,0,1,0
"Non, je ne serais surement pas maître de mon véhicule car je délèguerais tout ou partie de mes pouvoir à l'IA. Si le wifi est les meilleurs moyens de connexion alors géniale. Pourquoi pas la 5G?","","","",6,7,7,7,7,1,4,4,3,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,21,1,7,3,2.5,1,1,1,3,"Non, je ne serais surement pas maître de mon véhicule car je délèguerais tout ou partie de mes pouvoir à l'IA. Si le wifi est les meilleurs moyens de connexion alors géniale. Pourquoi pas la 5G?   ","Level5","wifi",-1,0,0,0.888888888888889,0,0.111111111111111,0
"","Non je ne suis pas maitre et la 5g j'entends trop de choses negatives dessus sur la santé de l'Homme","","",6,4,4,6,5,5,3,4,3,2,3,3,4,3,1,3,3,1,3,5,4,3,3,5,2,24,2,5,4,3.25,2,4,3.66666666666667,3," Non je ne suis pas maitre et la 5g j'entends trop de choses negatives dessus sur la santé de l'Homme  ","Level5","5G",-1,0,0.05,0,0,0.95,0
"","Non pas du tout maitre du véhicule, connexion 5g intéressant mais peu sûre de la fiabilité, actuellement j'aurais peur et je n'aurais pas entierement confiance ","","",7,1,3,2,4,4,3,4,2,3,4,3,4,4,2,4,2,2,5,5,4,5,6,6,2,23,1,2.33333333333333,3.66666666666667,3.75,2.5,4.66666666666667,5.66666666666667,3," Non pas du tout maitre du véhicule, connexion 5g intéressant mais peu sûre de la fiabilité, actuellement j'aurais peur et je n'aurais pas entierement confiance   ","Level5","5G",-3,0.03125,0,0,0,0.21875,0.75
"","","Etre rappelé à l'ordre et avoir toutes les commandes possibles sont des élements qui me font sentir maitre de mon véhicule. Le fait que la voiture soit connectée, je trouve ca rassurant. ","",3,4,6,2,1,4,3,4,6,2,3,4,4,5,3,3,4,4,4,4,4,5,6,6,2,24,1,2.33333333333333,3.66666666666667,4,3.5,4,5.66666666666667,3,"  Etre rappelé à l'ordre et avoir toutes les commandes possibles sont des élements qui me font sentir maitre de mon véhicule. Le fait que la voiture soit connectée, je trouve ca rassurant.  ","Level2","wifi",0,0,0,0.8,0.2,0,0
"Aucun problème dès lors que la technologie est sûre et certifiée comme dans l'aéronautique, aucun passager d'avion n'est effrayé par le pilote automatique d'un avion et les système de communication et anti collision mis en place depuis des années ","","","",2,6,6,6,6,1,3,7,6,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,28,2,6,3.66666666666667,2,1.75,1.66666666666667,1.33333333333333,0,"Aucun problème dès lors que la technologie est sûre et certifiée comme dans l'aéronautique, aucun passager d'avion n'est effrayé par le pilote automatique d'un avion et les système de communication et anti collision mis en place depuis des années    ","Level5","wifi",1,0,0,0.625,0,0.375,0
"","Je ne suis pas maître de mon véhicule. Connecté via la 5G bonne idée, mais impact sur la santé à déterminer.","","",7,3,5,1,1,2,2,5,1,1,7,3,6,3,1,1,1,2,7,7,4,7,7,7,1,25,1,1.66666666666667,3,4.75,1.25,6,7,2," Je ne suis pas maître de mon véhicule. Connecté via la 5G bonne idée, mais impact sur la santé à déterminer.  ","Level5","5G",1,0,0.985714285714286,0,0,0,0.0142857142857143
"","","Je pense que je suis maître de mon véhicule car j'ai toujours la possibilité de reprendre le contrôle. Le wifi ne me dérange pas cependant je pense que ce type de réseau doit être développé car il n'est pas fiable à 100% même aujourd'hui","",3,7,6,6,6,3,2,6,2,2,6,2,2,2,2,3,2,2,2,3,3,2,2,2,2,25,1,6.33333333333333,3.66666666666667,3,2.25,2.66666666666667,2,1,"  Je pense que je suis maître de mon véhicule car j'ai toujours la possibilité de reprendre le contrôle. Le wifi ne me dérange pas cependant je pense que ce type de réseau doit être développé car il n'est pas fiable à 100% même aujourd'hui ","Level2","wifi",1,0.00909090909090909,0,0.0454545454545455,0.936363636363636,0,0.00909090909090909
"","","Oui super la technologie, après faut faire attention au piratage et aux attaques Informatiques, il y a deja eu des cas ou des pirates ont pris le contrôle de la voiture a distance, c'est flippant ","",5,5,1,2,2,5,4,3,1,5,5,5,6,6,3,3,3,4,3,3,3,5,5,6,1,37,2,3,4,5.5,3.25,3,5.33333333333333,4,"  Oui super la technologie, après faut faire attention au piratage et aux attaques Informatiques, il y a deja eu des cas ou des pirates ont pris le contrôle de la voiture a distance, c'est flippant  ","Level2","wifi",0,0,0.3,0.7,0,0,0
"","","Je pense être maître de mon véhicule car je possède un volant et des pédales donc je peux intervenir à n’importe quel moment sur la conduite. Je trouve peu rassurant le fait d’être connecté via un réseau wifi. Que se passe-t-il en cas de panne ou but wifi ? Plus d’informations communiquées entre les voitures ?!","",3,3,6,3,3,4,4,5,2,6,5,3,3,5,3,3,2,2,3,3,1,3,5,5,1,24,2,3,4.33333333333333,4,2.5,2.33333333333333,4.33333333333333,2,"  Je pense être maître de mon véhicule car je possède un volant et des pédales donc je peux intervenir à n’importe quel moment sur la conduite. Je trouve peu rassurant le fait d’être connecté via un réseau wifi. Que se passe-t-il en cas de panne ou but wifi ? Plus d’informations communiquées entre les voitures ?! ","Level2","wifi",-1,0,0.2,0.475,0.31875,0.00625,0
"Cela me paraît securisant à condition de garantir une continuité sans faille du reseau WIFi (redondance) et sur les systèmes vitaux (redondance également)","","","",3,4,4,5,5,1,1,4,4,1,3,2,5,3,3,1,1,1,1,1,1,3,3,3,1,50,2,4.66666666666667,2,3.25,1.5,1,3,3,"Cela me paraît securisant à condition de garantir une continuité sans faille du reseau WIFi (redondance) et sur les systèmes vitaux (redondance également)   ","Level5","wifi",0,0,0,0,0,0,0
"","","I think giving the vehicle control over functions like speed and security distancing can be quite dangerous. Driving in some contexts requires lots of anticipation and calculation. If the system intervenes, it messes with the driver's calculations and puts everyone in danger. Secondly, wifi connections even at home are not always reliable. Secondly, what happens if thete is no wifi? Third, what are these vehicles communicating? Is the driver informed by what the vehicles are communicating? More transparency","",6,5,5,3,2,6,4,3,2,2,4,4,4,4,4,4,4,4,5,3,3,5,5,5,1,30,1,3.33333333333333,4.33333333333333,4,4,3.66666666666667,5,4,"  I think giving the vehicle control over functions like speed and security distancing can be quite dangerous. Driving in some contexts requires lots of anticipation and calculation. If the system intervenes, it messes with the driver's calculations and puts everyone in danger. Secondly, wifi connections even at home are not always reliable. Secondly, what happens if thete is no wifi? Third, what are these vehicles communicating? Is the driver informed by what the vehicles are communicating? More transparency ","Level2","wifi",-2,0,0,0.15,0.85,0,0
"On n'est pas maître du vehicule en considerant que la voiture prendre ses decision.  La connection est necessaire pour faire si que la voiture puisse conduire dans une façon autonome.","","","",6,4,5,6,6,3,3,4,3,3,5,3,3,3,3,2,2,2,3,3,4,4,4,4,2,27,1,5.33333333333333,3.33333333333333,3.5,2.25,3.33333333333333,4,3,"On n'est pas maître du vehicule en considerant que la voiture prendre ses decision.  La connection est necessaire pour faire si que la voiture puisse conduire dans une façon autonome.   ","Level5","wifi",1,0.33,0,0,0,0.61,0.06
"","Je ne suis plus maître de mon véhicule, être connecté via 5G c’est se désengager de son autonomie et devenir dépendant de l’intelligence artificielle ","","",5,3,5,5,3,5,5,4,3,3,5,4,4,6,2,4,3,2,3,4,4,2,4,4,1,28,1,3.66666666666667,4.66666666666667,4.75,2.75,3.66666666666667,3.33333333333333,3," Je ne suis plus maître de mon véhicule, être connecté via 5G c’est se désengager de son autonomie et devenir dépendant de l’intelligence artificielle   ","Level5","5G",2,0.1,0.1,0,0.6,0.2,0
"","","Oui, parce que j'ai le droit de conduire. Ce n'est pas entierement automatisee. Par rapport au wifi, c'est un peu risque parce que la connection au wifi peut tomber. ","",2,3,3,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,32,1,3.33333333333333,3.66666666666667,4,4,4,4,4,"  Oui, parce que j'ai le droit de conduire. Ce n'est pas entierement automatisee. Par rapport au wifi, c'est un peu risque parce que la connection au wifi peut tomber.  ","Level2","wifi",0,0,0,0.0428571428571429,0.528571428571429,0.428571428571429,0
"Non + failles informatiques possible. Pas pour une utilisation quotidienne, en temps que taxi pourquoi pas ","","","",6,5,6,4,5,3,3,5,1,1,2,4,4,4,3,3,2,3,3,3,3,4,6,6,1,23,1,4.66666666666667,3.66666666666667,3.5,2.75,3,5.33333333333333,2,"Non + failles informatiques possible. Pas pour une utilisation quotidienne, en temps que taxi pourquoi pas    ","Level5","wifi",0,0,0,0,0,0,0
"","","","Non on n’est pas maître à partir du moment où la voiture a une partie autonome. Ne connaissant pas encore la 5G et ce qu’elle peut faire, je ne sais pas, mais étant donné que c’est un réseau, il peut toujours y avoir des beug / piratage ",6,2,4,1,3,4,4,3,2,3,5,5,5,5,3,4,5,3,4,3,3,4,5,5,2,23,1,2,3.66666666666667,5,3.75,3.33333333333333,4.66666666666667,4,"   Non on n’est pas maître à partir du moment où la voiture a une partie autonome. Ne connaissant pas encore la 5G et ce qu’elle peut faire, je ne sais pas, mais étant donné que c’est un réseau, il peut toujours y avoir des beug / piratage ","Level2","5G",-3,0.309090909090909,0,0.445454545454545,0.227272727272727,0.0181818181818182,0
"","Je ne suis absolument pas favorable à l’installation de la 5G et je n’apprécierai pas être pistée ou ne pas être libre de mes faits et gestes en voiture.","","",6,1,4,2,4,5,3,3,3,3,4,5,5,4,4,4,5,4,3,5,4,7,7,7,2,22,1,2.33333333333333,3.66666666666667,4.5,4.25,4,7,4," Je ne suis absolument pas favorable à l’installation de la 5G et je n’apprécierai pas être pistée ou ne pas être libre de mes faits et gestes en voiture.  ","Level5","5G",2,0,0,1,0,0,0
"","","","Avec tout ce quon entend sur la 5G sur les effets sur la sante mais aussi sur l'environnement cela ne me branche pas trop.",5,3,4,1,3,5,3,4,4,3,3,4,5,5,4,4,3,5,3,4,3,7,7,6,2,24,1,2.33333333333333,4,4.25,4,3.33333333333333,6.66666666666667,3,"   Avec tout ce quon entend sur la 5G sur les effets sur la sante mais aussi sur l'environnement cela ne me branche pas trop.","Level2","5G",0,0,0,0,0,0,0
"","Non, dans ce cas je ne suis pas maître du véhicule, mais plutôt passager comme dans un bus et un taxis. La 5G p’est un avantage. ","","",5,5,6,5,5,4,3,3,4,3,4,2,3,3,2,2,2,2,2,2,1,2,4,4,2,24,1,5,3.33333333333333,3,2,1.66666666666667,3.33333333333333,4," Non, dans ce cas je ne suis pas maître du véhicule, mais plutôt passager comme dans un bus et un taxis. La 5G p’est un avantage.   ","Level5","5G",1,0,0.9,0,0,0.1,0
"","","","J'en pense qu'il sera difficile de gérer pour l'humain la ""communication de contexte"" entre ses activités hors conduite et l'appel de la voiture à gérer une tâche de conduite. La communication 5G entre véhicules me paraît un plus pour faciliter les réactions automatiques et leur coordination.",4,3,5,4,3,3,4,4,3,1,4,4,5,5,4,5,4,4,4,4,4,4,4,4,1,44,2,3.33333333333333,3.66666666666667,4.5,4.25,4,4,3,"   J'en pense qu'il sera difficile de gérer pour l'humain la ""communication de contexte"" entre ses activités hors conduite et l'appel de la voiture à gérer une tâche de conduite. La communication 5G entre véhicules me paraît un plus pour faciliter les réactions automatiques et leur coordination.","Level2","5G",-2,0,0,0.0769230769230769,0,0.923076923076923,0
"Très dangereux. Rendre la technologie responsable de tout me matait une énorme bêtise. Si le wifi plante, aucune solution mécanique pour compenser ","","","",6,1,2,1,1,5,4,2,1,5,6,6,6,6,6,7,3,5,7,3,3,7,7,7,2,24,1,1,3.66666666666667,6,5.25,4.33333333333333,7,5,"Très dangereux. Rendre la technologie responsable de tout me matait une énorme bêtise. Si le wifi plante, aucune solution mécanique pour compenser    ","Level5","wifi",3,0,0,1,0,0,0
"","Bonne idée théorique, dans mon esprit utopique dans l'immédiat : quantités de difficultés pratique à résoudre : quid de la couverture, des éventuels bugs, des pbm encombrement réseaux etc, des passages en zone blanche, etc.","","",7,4,7,4,6,2,5,4,3,3,4,5,5,5,1,1,1,1,2,2,4,4,3,4,1,64,2,4.66666666666667,3.66666666666667,4.75,1,2.66666666666667,3.66666666666667,3," Bonne idée théorique, dans mon esprit utopique dans l'immédiat : quantités de difficultés pratique à résoudre : quid de la couverture, des éventuels bugs, des pbm encombrement réseaux etc, des passages en zone blanche, etc.  ","Level5","5G",9,0,0.375,0,0.025,0,0.6
"","","","Je pense être maître de mon véhicule avec une voiture autonome de niveau 2 connectée en 5G. Cependant, l'utilisation de la 5G me fait peur à cause de l'exposition aux ondes dans la voiture et à la collecte des données pendant la conduite",2,1,2,2,2,4,4,3,2,4,2,5,5,5,4,4,5,2,5,5,5,7,7,7,2,42,1,1.66666666666667,3.66666666666667,4.25,3.75,5,7,4,"   Je pense être maître de mon véhicule avec une voiture autonome de niveau 2 connectée en 5G. Cependant, l'utilisation de la 5G me fait peur à cause de l'exposition aux ondes dans la voiture et à la collecte des données pendant la conduite","Level2","5G",-2,0.694736842105263,0,0.294736842105263,0,0.0105263157894737,0
"","","","Je me sens maître de mon véhicule mais ai peur de la connection 5g au niveau de la protection des données mais aussi de la possibilité de piratage",3,5,7,6,3,5,5,2,1,5,4,2,5,2,3,4,2,1,3,4,2,5,5,6,2,22,1,4.66666666666667,4,3.25,2.5,3,5.33333333333333,5,"   Je me sens maître de mon véhicule mais ai peur de la connection 5g au niveau de la protection des données mais aussi de la possibilité de piratage","Level2","5G",-2,0.605882352941176,0,0.00588235294117647,0.0117647058823529,0.376470588235294,0
"Si la fiabilité est de 100 pour 100 alors oui, sinon je ne vois pas l'intérêt.Il faut également pouvoir se rendre n'importe où pour que cela soit vraiment intéressant et non entre grandes villes par exemple.i","","","",4,4,4,5,3,1,3,4,6,2,2,3,2,3,3,3,3,3,4,4,4,3,1,3,1,79,3,4,2.66666666666667,2.5,3,4,2.33333333333333,3,"Si la fiabilité est de 100 pour 100 alors oui, sinon je ne vois pas l'intérêt.Il faut également pouvoir se rendre n'importe où pour que cela soit vraiment intéressant et non entre grandes villes par exemple.i   ","Level5","wifi",-1,0,0,0,0,0,1
"","Non. Pas forcément rassurant de ne pas pouvoir reprendre le contrôle. Ok pour la 5G, bien qu'il faut s'assurer qu'il n'y ait jamais de problème de couverture réseau. ","","",5,5,5,5,5,3,3,5,3,2,3,2,2,2,5,3,2,2,1,1,1,1,2,3,2,26,1,5,3.66666666666667,2.25,3,1,2,2," Non. Pas forcément rassurant de ne pas pouvoir reprendre le contrôle. Ok pour la 5G, bien qu'il faut s'assurer qu'il n'y ait jamais de problème de couverture réseau.   ","Level5","5G",0,0,0.0142857142857143,0,0.985714285714286,0,0
"","La description telle que présentée ne permet pas d'être maître de son véhicule. Dépendance totale au réseau, que se passe t-il si le réseau 5G n'est pas fiable?","","",2,3,5,4,6,3,3,4,3,4,5,3,3,4,3,3,3,3,3,5,5,4,4,4,2,45,2,4.33333333333333,3.33333333333333,3.75,3,4.33333333333333,4,3," La description telle que présentée ne permet pas d'être maître de son véhicule. Dépendance totale au réseau, que se passe t-il si le réseau 5G n'est pas fiable?  ","Level5","5G",1,0,0,0,0.7,0.3,0
"Le fait que la conduite soit gérée par l'intelligence artificielle ne me gène pas, mais la connexion en WiFi me parait peu sécurisée","","","",1,7,7,7,7,4,2,6,3,2,2,2,2,2,1,1,1,1,3,3,3,2,3,3,1,23,1,7,4,2,1,3,2.66666666666667,1,"Le fait que la conduite soit gérée par l'intelligence artificielle ne me gène pas, mais la connexion en WiFi me parait peu sécurisée   ","Level5","wifi",0,0,0,0.985714285714286,0,0,0.0142857142857143
"","Pas maitre de son véhicule puisque je ne le maitrise pas... Ca me parait peut être un peu risqué d'être connecté en 5G (hacker la voiture peut être faisable ?)","","",6,3,4,5,3,4,4,3,3,4,4,3,3,4,2,2,2,2,4,3,4,7,7,7,2,23,1,3.66666666666667,3.66666666666667,3.5,2,3.66666666666667,7,4," Pas maitre de son véhicule puisque je ne le maitrise pas... Ca me parait peut être un peu risqué d'être connecté en 5G (hacker la voiture peut être faisable ?)  ","Level5","5G",0,0,0,0,0,0.9,0.1
"","non puisque c'est la voiture qui prend les décisions pour moi. connectée via la 5G, quel est le problème","","",6,5,5,5,5,5,5,5,5,5,3,5,5,4,5,5,5,4,5,5,4,4,5,5,2,46,2,5,5,4.25,4.75,4.66666666666667,4.66666666666667,2," non puisque c'est la voiture qui prend les décisions pour moi. connectée via la 5G, quel est le problème  ","Level5","5G",-1,0,0,0.933333333333333,0.0333333333333333,0,0.0333333333333333
"Non je ne pense pas être maître de mon véhicule. Car ici c’est seulement la voiture qui exécute les manœuvre de manière tout à fait autonome. Je n’ai pas encore confiance dans cette technologie.  La connexion wifi est indispensable ici. En effet si les voitures ne communiquent pas entre elles. La sécurité des passagers à bord serait réduite ","","","",7,1,4,1,2,6,3,3,4,1,3,4,3,2,2,2,1,1,4,4,2,5,4,5,2,22,1,1.33333333333333,4,3,1.5,3.33333333333333,4.66666666666667,4,"Non je ne pense pas être maître de mon véhicule. Car ici c’est seulement la voiture qui exécute les manœuvre de manière tout à fait autonome. Je n’ai pas encore confiance dans cette technologie.  La connexion wifi est indispensable ici. En effet si les voitures ne communiquent pas entre elles. La sécurité des passagers à bord serait réduite    ","Level5","wifi",-1,0.345,0,0.425,0,0,0.23
"","","","Être maitre de la voiture : pas totalement. La 5g c’est bien. Mais comment faire dans les endroits où la couverture 5g est faible voire inexistante ? Que se passerai-t-il?",4,1,4,6,4,3,4,5,3,2,4,3,5,3,1,1,1,1,2,2,2,4,4,4,2,28,1,3.66666666666667,4,3.75,1,2,4,2,"   Être maitre de la voiture : pas totalement. La 5g c’est bien. Mais comment faire dans les endroits où la couverture 5g est faible voire inexistante ? Que se passerai-t-il?","Level2","5G",0,0,0,0,0,1,0
"","","","Je pense perdre du contrôle par rapport à une voitre de niveau 1. la connection Me semble ajouter de la flexibilité aux outils et donc serait un gage de perfomance",2,5,5,5,3,3,2,5,6,2,3,2,2,3,3,5,5,3,2,6,6,3,5,5,2,47,2,4.33333333333333,3.33333333333333,2.5,4,4.66666666666667,4.33333333333333,2,"   Je pense perdre du contrôle par rapport à une voitre de niveau 1. la connection Me semble ajouter de la flexibilité aux outils et donc serait un gage de perfomance","Level2","5G",0,0.0111111111111111,0,0.655555555555556,0,0.333333333333333,0
"","Je pense être moyennement maître: je serai toujours celui qui la commande lui dit où aller mais je ne pourrai pas gérer comment elle le fait. La 5G semble être un réseau puissant et rapide mais j'aurai toujours peur de la perte de réseau et de comment la voiture le gérerai. ","","",2,5,2,5,2,3,2,5,6,4,3,3,3,3,2,2,2,2,2,3,4,3,4,4,1,24,1,4,3.33333333333333,3,2,3,3.66666666666667,2," Je pense être moyennement maître: je serai toujours celui qui la commande lui dit où aller mais je ne pourrai pas gérer comment elle le fait. La 5G semble être un réseau puissant et rapide mais j'aurai toujours peur de la perte de réseau et de comment la voiture le gérerai.   ","Level5","5G",0,0.0214285714285714,0.235714285714286,0,0.171428571428571,0,0.571428571428571
"","","","Oui je reste maître du véhicule. Cela permet de assurer la sécurité des passagers. C'est de l'internet rapide qui permet de connecter véhicule à IOT.",1,6,3,6,6,2,2,6,3,1,3,1,1,1,2,2,2,2,1,1,3,3,3,3,1,52,2,6,3.33333333333333,1.5,2,1.66666666666667,3,1,"   Oui je reste maître du véhicule. Cela permet de assurer la sécurité des passagers. C'est de l'internet rapide qui permet de connecter véhicule à IOT.","Level2","5G",4,1,0,0,0,0,0
"","En aucun cas. On peut etre connecté en 5 g et avoir un vehicule autonome pour olus de sécurité mais en aucun cas ne pas pouvoir reprendre le controle du véhicule","","",7,4,4,5,1,3,3,3,2,2,3,3,5,4,3,3,3,3,3,4,3,5,5,5,1,57,2,3.33333333333333,3,3.75,3,3.33333333333333,5,4," En aucun cas. On peut etre connecté en 5 g et avoir un vehicule autonome pour olus de sécurité mais en aucun cas ne pas pouvoir reprendre le controle du véhicule  ","Level5","5G",-1,0.5,0.5,0,0,0,0
"","","oui je me sens maitre et c'est un des modes de connexion parmi d'autres avec la 5G etc.......100 caractères c'est beaucoup","",1,7,7,7,7,1,1,6,5,2,3,2,2,2,2,3,3,3,1,1,1,2,2,3,1,53,2,7,2.66666666666667,2.25,2.75,1,2.33333333333333,1,"  oui je me sens maitre et c'est un des modes de connexion parmi d'autres avec la 5G etc.......100 caractères c'est beaucoup ","Level2","wifi",1,0,0,0.0166666666666667,0,0.633333333333333,0.35
"","Je ne suis pas maitre du vehicule mais c'est le principe, cela ne me derange pas, j'ai confiance si les autres voitures ont le meme systeme","","",7,7,5,6,6,4,2,7,7,7,1,1,1,1,2,4,2,2,1,2,4,2,4,3,2,22,1,6.33333333333333,4.33333333333333,1,2.5,2.33333333333333,3,0," Je ne suis pas maitre du vehicule mais c'est le principe, cela ne me derange pas, j'ai confiance si les autres voitures ont le meme systeme  ","Level5","5G",1,0,0,0,0,0.575,0.425
